tid,label,lat,lon,day,hour,category,tid2,day2,hour2
127,6,40.8340978041072,-73.94526722258809,0,13,0,1,13,1
127,6,40.567196,-73.882576,0,19,1,1,13,1
127,6,40.6899127194574,-73.9815044403076,0,23,1,1,12,23
127,6,40.7085883614824,-73.9910316467285,0,23,1,2,12,23
127,6,40.8331652006224,-73.9418603427692,1,14,2,2,13,16
127,6,40.7085883614824,-73.9910316467285,1,17,1,2,13,16
127,6,40.7590904609109,-73.83005619049071,1,18,1,3,12,8
127,6,40.759478666551104,-73.8300985117754,1,21,1,3,12,8
127,6,40.6899127194574,-73.9815044403076,1,23,1,3,12,10
127,6,40.848758995216,-73.9382779598236,3,0,1,4,12,10
127,6,40.84884583332301,-73.9384174346924,3,0,1,4,14,19
127,6,40.88214078989179,-74.0422647901029,3,1,1,4,14,19
127,6,40.91417799759071,-74.17763521463101,3,1,3,5,12,17
127,6,40.7572212983984,-73.9915466308594,3,3,1,5,12,17
127,6,40.7617816261867,-73.9850546682068,3,3,0,5,13,2
127,6,40.815540684618,-73.9584234721819,3,3,1,6,13,2
127,6,40.8331652006224,-73.9418603427692,4,18,2,6,12,19
127,6,40.8341815824087,-73.945187330246,4,22,1,6,12,20
127,6,40.8346576535679,-73.9451868588011,5,23,4,7,13,9
127,6,40.8331652006224,-73.9418603427692,6,20,2,7,13,9
127,6,40.8341610206876,-73.94503761167971,6,21,0,7,13,23
127,6,40.8331652006224,-73.9418603427692,6,23,2,8,13,23
128,6,40.660473835167,-73.83029108918642,0,17,1,8,13,19
128,6,40.6086420833785,-73.8190376758575,0,19,5,8,13,19
128,6,40.73405557647629,-73.8708472251892,0,20,4,9,14,1
128,6,40.733372474683705,-73.8711404741537,0,20,1,9,14,2
128,6,40.7631337910326,-73.8752118314646,0,21,1,9,13,22
128,6,40.7572212983984,-73.9915466308594,3,2,1,10,13,22
128,6,40.7564898726738,-73.9862680435181,3,2,5,10,13,1
128,6,40.815540684618,-73.9584234721819,3,2,1,10,13,1
128,6,40.8331652006224,-73.9418603427692,5,14,2,11,13,21
128,6,40.83128282647829,-73.941392502021,5,15,1,11,13,21
128,6,40.6900872257332,-73.9817776229191,5,17,3,11,13,3
128,6,40.8278390825735,-73.92576813697809,5,18,1,12,13,4
128,6,40.8331652006224,-73.9418603427692,6,0,2,12,14,9
128,6,40.7085883614824,-73.9910316467285,6,12,1,12,14,9
128,6,40.6914746462291,-73.9873838424683,6,13,1,13,13,11
128,6,40.7306323510853,-73.9996371281808,6,14,6,13,13,11
128,6,40.8002312249141,-73.8288116455078,6,20,5,13,12,15
128,6,40.86046649134129,-73.92554283142091,6,21,1,14,12,15
129,6,40.821344149632296,-73.9540386199951,0,12,1,14,14,15
129,6,40.6900872257332,-73.9817776229191,0,13,3,14,14,16
129,6,40.6897825572405,-73.9810752868652,0,14,0,15,13,15
129,6,40.6889893757358,-73.98129925131799,0,16,1,15,13,15
129,6,40.662169710863296,-73.86484090153671,0,17,1,15,11,22
129,6,40.6963140173316,-73.9906616720344,1,21,5,16,11,22
129,6,40.68875409408809,-73.9806412614152,1,22,0,16,14,16
129,6,40.7085883614824,-73.9910316467285,2,16,1,16,14,16
129,6,40.7710592625284,-73.9176545604588,2,17,1,17,12,6
129,6,40.7660790376824,-73.88352870941159,2,18,1,17,12,6
129,6,40.803291864361896,-73.9328276594543,2,21,1,17,14,6
129,6,40.6904333657826,-73.9852809906006,2,22,1,18,14,6
129,6,40.6900872257332,-73.9817776229191,3,16,3,18,13,23
129,6,40.6899127194574,-73.9815044403076,3,19,1,18,13,23
129,6,40.6963140173316,-73.9906616720344,3,21,5,19,13,19
129,6,40.68875409408809,-73.9806412614152,3,22,0,19,13,19
129,6,40.7661619622658,-73.9775764953862,3,23,1,19,13,7
129,6,40.8331652006224,-73.9418603427692,6,0,2,20,13,7
129,6,40.6900872257332,-73.9817776229191,6,9,3,20,13,20
129,6,40.7136501283367,-73.830267186553,6,13,1,20,13,20
129,6,40.6901232953871,-73.9840790213382,6,16,0,21,14,6
129,6,40.8079950658704,-73.9638555049896,6,17,1,21,14,6
130,6,40.8331652006224,-73.9418603427692,1,0,2,21,12,21
130,6,40.675536508907705,-73.8717549157205,1,17,1,22,12,21
130,6,40.6990888502098,-73.80676279569451,1,18,1,22,14,9
130,6,40.7519046092262,-73.9866960394024,1,22,1,22,14,9
130,6,40.7014573241921,-74.01321428847191,2,19,1,23,12,1
130,6,40.8332608333333,-73.94581555,3,4,6,23,12,1
130,6,40.8173027038574,-73.9585418701172,4,17,1,23,12,14
130,6,40.773839,-73.87122,4,20,1,24,12,14
130,6,40.7631337910326,-73.8752118314646,4,21,1,24,13,23
130,6,40.7592855009274,-73.83078575134279,6,11,1,24,13,23
130,6,40.7590904609109,-73.83005619049071,6,13,1,25,11,13
130,6,40.83429877508829,-74.0979492166034,6,19,1,25,11,13
130,6,40.91417799759071,-74.17763521463101,6,20,3,25,14,20
132,6,40.8331652006224,-73.9418603427692,3,3,2,26,14,20
132,6,40.6900872257332,-73.9817776229191,3,16,3,26,12,18
132,6,40.7700768232489,-73.917989730835,3,17,1,26,12,18
132,6,40.773839,-73.87122,3,19,1,27,14,12
132,6,40.8331652006224,-73.9418603427692,4,0,2,27,14,12
132,6,40.6996886534352,-73.80783123752809,4,19,1,27,12,19
132,6,40.6900872257332,-73.9817776229191,4,22,3,28,12,19
132,6,40.6904333657826,-73.9852809906006,4,22,1,28,14,21
132,6,40.8331652006224,-73.9418603427692,5,17,2,28,14,21
132,6,40.7085883614824,-73.9910316467285,6,18,1,29,13,13
132,6,40.8331652006224,-73.9418603427692,6,23,2,29,13,14
134,6,40.5769992443877,-73.98152589797971,0,1,3,29,14,10
134,6,40.6526759641946,-74.0021467208862,0,5,1,30,14,10
134,6,40.6557390232741,-73.90721698547141,0,7,1,30,14,10
134,6,40.61947411408449,-73.9899587631226,0,8,1,30,14,10
134,6,40.7085883614824,-73.9910316467285,0,20,1,31,13,0
134,6,40.6880585097395,-73.9804905425158,1,3,1,31,13,0
134,6,40.7085883614824,-73.9910316467285,1,20,1,31,14,19
134,6,40.6914746462291,-73.9873838424683,2,3,1,32,14,19
134,6,40.83128282647829,-73.941392502021,2,4,1,32,12,23
134,6,40.8331652006224,-73.9418603427692,2,4,2,32,12,23
134,6,40.8341815824087,-73.945187330246,2,18,1,33,14,10
134,6,40.6053194625755,-73.9804116926189,2,22,1,33,14,10
134,6,40.57745558120849,-73.9812469482422,3,1,1,33,14,15
134,6,40.7564898726738,-73.9862680435181,3,3,5,34,14,16
134,6,40.8341610206876,-73.94503761167971,3,4,0,34,11,17
134,6,40.57745558120849,-73.9812469482422,3,22,1,34,11,17
134,6,40.6900872257332,-73.9817776229191,4,2,3,35,14,14
134,6,40.815540684618,-73.9584234721819,4,4,1,35,14,14
134,6,40.8192174354861,-73.9571721746063,5,8,1,35,14,14
134,6,40.7564898726738,-73.9862680435181,6,1,5,36,14,14
134,6,40.85594702018521,-73.9008381921455,6,22,0,36,14,15
134,6,40.8660975573721,-73.8943862915039,6,23,1,36,14,15
137,6,40.8331652006224,-73.9418603427692,1,18,2,37,14,20
137,6,40.6880585097395,-73.9804905425158,1,20,1,37,14,20
137,6,40.7679967046751,-73.9818906784058,3,4,1,37,13,19
137,6,40.8331652006224,-73.9418603427692,3,6,2,38,13,19
137,6,40.6900872257332,-73.9817776229191,4,2,3,38,14,11
137,6,40.69014050272521,-73.9819765090942,4,3,0,38,14,11
137,6,40.750724,-73.987128,4,4,0,39,12,20
137,6,40.7497034836652,-73.9878129959106,4,5,1,39,12,20
137,6,40.7519046092262,-73.9866960394024,4,5,1,39,11,22
137,6,40.6899127194574,-73.9815044403076,4,7,1,40,11,22
137,6,40.8331652006224,-73.9418603427692,4,9,2,40,14,9
137,6,40.8331652006224,-73.9418603427692,4,18,2,40,14,9
137,6,40.5937675777609,-74.1353130340576,5,15,3,41,11,6
137,6,40.6336490127072,-74.1299458294018,5,16,1,41,11,6
137,6,40.7449827019294,-73.90409938347992,5,19,1,41,14,0
137,6,40.7669064372843,-73.9213804898498,5,19,1,42,14,0
137,6,40.726102567113706,-73.8951482014169,5,21,0,42,14,19
137,6,40.775235,-73.9348447322845,5,23,1,42,14,19
137,6,40.76500642014821,-73.88726234436041,6,0,1,43,11,7
138,6,40.8331652006224,-73.9418603427692,0,13,2,43,11,7
138,6,40.630727792284006,-73.9771270751953,0,21,1,43,14,9
138,6,40.6347866881065,-74.02351989123409,1,1,1,44,14,9
138,6,40.6900872257332,-73.9817776229191,1,3,3,44,11,22
138,6,40.756506126666295,-73.9880275726318,1,4,1,44,11,22
138,6,40.7600867919055,-73.99918377442721,1,5,1,45,14,15
138,6,40.7317954706149,-73.9856725931168,1,6,0,45,14,15
138,6,40.7348919181315,-73.9912194013596,1,7,1,45,12,18
138,6,40.7199733783619,-73.97875785827641,1,8,1,46,12,18
138,6,40.7378241119311,-74.00020077824591,2,23,1,46,11,17
138,6,40.7269335438612,-74.005880355835,3,0,1,46,11,18
138,6,40.68875409408809,-73.9806412614152,3,4,0,47,14,11
138,6,40.8278390825735,-73.92576813697809,3,5,1,47,14,11
138,6,40.8331652006224,-73.9418603427692,3,6,2,47,14,0
138,6,40.756506126666295,-73.9880275726318,4,0,1,48,14,0
138,6,40.6900872257332,-73.9817776229191,4,2,3,48,14,8
138,6,40.6899127194574,-73.9815044403076,4,3,1,48,14,8
138,6,40.815540684618,-73.9584234721819,4,5,1,49,13,0
139,6,40.756506126666295,-73.9880275726318,0,0,1,49,13,0
139,6,40.6900872257332,-73.9817776229191,0,2,3,49,14,8
139,6,40.6904333657826,-73.9852809906006,0,3,1,50,14,8
139,6,40.815540684618,-73.9584234721819,0,4,1,50,14,12
139,6,40.6900872257332,-73.9817776229191,0,20,3,50,14,12
139,6,40.6880585097395,-73.9804905425158,0,20,1,51,14,11
139,6,40.7795008576189,-73.9558461945179,0,21,1,51,14,11
139,6,40.8278390825735,-73.92576813697809,1,4,1,51,12,6
139,6,40.8331652006224,-73.9418603427692,2,0,2,52,12,6
139,6,40.689612,-73.981096,2,20,0,52,14,9
139,6,40.7085883614824,-73.9910316467285,2,21,1,52,14,10
139,6,40.7540712357943,-73.9844635415781,2,23,4,53,14,14
139,6,40.7586233891381,-73.98165136086159,3,1,1,53,14,14
139,6,40.711634904081286,-74.01029350146509,3,3,1,53,13,19
139,6,40.8340978041072,-73.94526722258809,3,4,0,54,13,19
141,7,40.7778713492554,-73.9547613949466,0,12,0,54,11,7
141,7,40.7719139204579,-73.95900893890409,0,14,4,54,11,7
141,7,40.772891,-73.958314,0,18,4,55,18,22
141,7,40.80159564768029,-73.94871711730958,0,19,4,55,18,22
141,7,40.8100901727589,-73.9432668685913,2,9,0,55,18,22
141,7,40.7713022794736,-73.961580379552,2,9,0,56,18,22
141,7,40.7245918871832,-73.9971470832825,2,19,4,56,18,22
141,7,40.726536,-74.002342,2,20,0,56,18,22
141,7,40.74267,-73.98247928,3,18,0,57,18,22
141,7,40.7428634599968,-73.98241467112591,3,19,4,57,18,22
141,7,40.8100901727589,-73.9432668685913,4,9,0,57,18,22
141,7,40.7736492592914,-73.98402163019159,4,20,7,58,18,22
141,7,40.773045,-73.962333,5,10,4,58,18,22
141,7,40.7713022794736,-73.961580379552,5,11,0,58,18,22
141,7,40.788449729771294,-73.9488726854324,5,20,0,59,18,22
141,7,40.77211112865999,-73.96095474201341,6,10,0,59,18,22
141,7,40.7719139204579,-73.95900893890409,6,12,4,59,18,22
141,7,40.7740337440581,-73.9668488502502,6,13,5,60,18,22
142,7,40.7933676541078,-73.9482980610387,0,7,3,60,18,21
142,7,40.8092700031352,-73.9490711688995,0,8,5,60,18,21
142,7,40.77211112865999,-73.96095474201341,0,16,0,61,18,21
142,7,40.793673777441896,-73.9488433773094,1,7,3,61,18,21
142,7,40.8092700031352,-73.9490711688995,1,8,5,61,18,21
142,7,40.7719139204579,-73.95900893890409,1,10,4,62,18,22
142,7,40.8092700031352,-73.9490711688995,1,21,5,62,18,22
142,7,40.8100901727589,-73.9432668685913,2,9,0,62,18,22
142,7,40.725535930757104,-73.9967849987352,2,19,4,63,18,20
142,7,40.7264538361829,-73.9985954761505,2,19,0,63,18,20
142,7,40.793673777441896,-73.9488433773094,3,8,3,63,18,21
142,7,40.7719139204579,-73.95900893890409,3,9,4,64,18,21
142,7,40.77211112865999,-73.96095474201341,3,9,0,64,18,21
142,7,40.68670740090929,-73.9777708053589,3,19,7,64,18,21
142,7,40.7380018107768,-74.0042853768993,3,22,8,65,18,22
142,7,40.7934342426835,-73.9487056133441,4,8,3,65,18,22
142,7,40.77211112865999,-73.96095474201341,4,9,0,65,18,22
142,7,40.7738468721964,-73.95948886871341,4,14,0,66,18,22
142,7,40.728156,-73.98126203738279,4,22,8,66,18,22
142,7,40.7380050098572,-74.00434850048791,5,8,0,66,18,22
142,7,40.803423,-73.95276700000001,6,11,0,67,14,14
142,7,40.78345,-73.979015,6,13,4,67,14,14
142,7,40.8343774556165,-73.9387117240386,6,14,5,67,18,22
142,7,40.8100901727589,-73.9432668685913,6,14,0,68,18,22
142,7,40.80783255,-73.96386427142859,6,17,0,68,18,21
145,7,40.793673777441896,-73.9488720781232,0,7,3,68,18,21
145,7,40.79409,-73.96717,0,8,4,69,18,21
145,7,40.7948354482357,-73.9659827441092,0,9,4,69,18,21
145,7,40.7738468721964,-73.95948886871341,0,16,0,69,18,21
145,7,40.8092700031352,-73.9490711688995,1,9,5,70,18,21
145,7,40.778438969615294,-73.9545145753308,1,10,4,70,18,22
145,7,40.774626,-73.959236,1,12,0,70,18,22
145,7,40.77211112865999,-73.96095474201341,1,15,0,71,18,22
145,7,40.798840233333294,-73.9413653522039,2,8,0,71,18,22
145,7,40.793673777441896,-73.9488720781232,2,8,3,71,18,22
145,7,40.8100901727589,-73.9432668685913,2,9,0,72,18,22
145,7,40.8109912422444,-73.9431605322863,2,19,0,72,18,22
145,7,40.8092700031352,-73.9490711688995,2,20,5,72,18,22
145,7,40.774626,-73.959236,3,13,0,73,18,22
145,7,40.8017905629288,-73.95734310150151,3,18,0,73,18,22
145,7,40.8050275833333,-73.954893,3,20,0,73,18,22
145,7,40.8100901727589,-73.9432668685913,4,8,0,74,18,22
145,7,40.77211112865999,-73.96095474201341,4,14,0,74,18,21
145,7,40.7700370337261,-73.9550656140391,4,17,8,74,18,21
146,7,40.793673777441896,-73.9488720781232,0,7,3,75,18,22
146,7,40.8092700031352,-73.9490711688995,0,8,5,75,18,22
146,7,40.774626,-73.959236,0,12,0,75,18,21
146,7,40.77211112865999,-73.96095474201341,0,15,0,76,18,21
146,7,40.793673777441896,-73.9488720781232,1,8,3,76,18,22
146,7,40.79096987028621,-73.9470514655113,1,8,0,76,18,22
146,7,40.800181362525,-73.9452787031264,1,9,4,77,19,11
146,7,40.752207,-73.97972299999999,2,20,1,77,19,12
146,7,40.793673777441896,-73.9488720781232,4,7,3,77,19,11
146,7,40.76,-73.97549599999999,4,8,0,78,19,12
146,7,40.761396839012,-73.9769857493038,4,10,7,78,19,10
146,7,40.7317183252113,-73.98555396792241,4,17,0,78,19,10
146,7,40.7317954706149,-73.9856725931168,4,19,0,79,19,10
146,7,40.8092700031352,-73.9490711688995,4,20,5,79,19,10
148,7,40.77211112865999,-73.96095474201341,0,10,0,79,18,22
148,7,40.773596339122896,-73.95992731449799,0,11,0,80,18,22
148,7,40.8100901727589,-73.9432668685913,1,8,0,80,19,10
148,7,40.773045,-73.962333,1,16,4,80,19,10
148,7,40.774111,-73.959546,3,13,4,81,19,10
148,7,40.7934045676619,-73.9485678492806,4,7,3,81,19,10
148,7,40.68310864869221,-73.9352444529616,5,20,8,81,19,10
148,7,40.6817293561679,-73.9346015084612,5,22,8,82,19,10
148,7,40.8098120013228,-73.95910077666021,6,9,6,82,19,10
148,7,40.8051984317441,-73.9620453015463,6,12,0,82,19,11
148,7,40.8144053164921,-73.94437173850459,6,21,7,83,18,19
