tid,lat,lon,day,hour,payment_type,pickup_dropoff,tid2,tid3
100,40.756357,-73.96757599999998,13,1,2,1,1,1
100,40.760596,-73.961301,13,1,0,0,1,1
110,40.711774,-73.94061399999998,12,23,4,1,1,1
110,40.672331,-73.98373599999998,12,23,4,0,1,1
120,40.734535,-73.995935,13,16,2,1,1,1
120,40.756476,-74.001672,13,16,0,0,1,1
130,40.727129,-74.000048,12,8,0,1,1,1
130,40.721617,-74.001868,12,8,0,0,1,1
140,40.771346,-73.956399,12,10,2,1,1,1
140,40.760072,-73.98080799999998,12,10,2,0,1,1
150,40.729674,-73.980974,14,19,0,1,1,1
150,40.720296,-73.984677,14,19,0,0,1,1
160,40.733462,-74.002964,12,17,0,1,1,1
160,40.725377,-73.99702499999998,12,17,0,0,1,1
170,40.739624,-74.002685,13,2,2,1,1,1
170,40.747167,-74.00689099999998,13,2,2,0,1,1
180,40.736985,-73.988629,12,19,2,1,1,2
180,40.776976,-73.953691,12,20,0,0,1,2
190,40.750053,-73.991698,13,9,2,1,1,2
190,40.780853,-73.972582,13,9,0,0,1,2
200,40.730519,-73.998464,13,23,0,1,1,2
200,40.755811,-73.970904,13,23,0,0,1,2
210,40.742501,-73.99993499999998,13,19,0,1,1,2
210,40.746285,-74.00664399999998,13,19,2,0,1,2
220,40.756811,-73.967236,14,1,0,1,1,2
220,40.609122,-74.07406,14,2,4,0,1,2
230,40.758469,-73.969538,13,22,0,1,1,2
230,40.788213,-73.97390199999998,13,22,0,0,2,2
240,40.750096,-73.99142999999998,13,1,2,1,2,2
240,40.775371,-73.95649199999998,13,1,2,0,2,2
250,40.769994,-73.98418599999998,13,21,0,1,2,2
250,40.716702,-74.008221,13,21,2,0,2,2
260,40.740536,-74.005705,13,3,2,1,2,2
260,40.760854,-73.998036,13,4,0,0,2,2
270,40.748841,-73.980024,14,9,0,1,2,2
270,40.765664,-73.975814,14,9,2,0,2,2
280,40.776836,-73.97904,13,11,0,1,2,3
280,40.776777,-73.97909099999998,13,11,0,0,2,3
290,40.708084,-74.009201,12,15,0,1,2,3
290,40.762153,-73.970467,12,15,2,0,2,3
300,40.748032,-73.989075,14,15,0,1,2,3
300,40.751577,-73.97815,14,16,0,0,2,3
310,40.756042,-73.98326,13,15,0,1,2,3
310,40.752582,-73.97258499999998,13,15,2,0,2,3
320,40.717908,-73.957695,11,22,0,1,2,3
320,40.726988,-73.945623,11,22,0,0,2,3
330,40.723247,-73.99900499999998,14,16,0,1,2,3
330,40.696624,-73.993464,14,16,0,0,2,3
340,40.759087,-73.91918699999998,12,6,0,1,2,3
340,40.761725,-73.924721,12,6,2,0,2,3
350,40.746883,-73.99391199999998,14,6,2,1,2,3
350,40.720803,-73.96086599999998,14,6,2,0,2,3
360,40.747977,-73.986001,13,23,0,1,2,3
360,40.761058,-73.985658,13,23,0,0,2,3
370,40.751224,-73.976348,13,19,0,1,3,3
370,40.782853,-73.94764,13,19,0,0,3,3
380,40.772478,-73.958605,13,7,2,1,3,3
380,40.645698,-73.780071,13,7,2,0,3,3
390,40.755884,-73.97259699999998,13,20,0,1,3,3
390,40.762111,-73.971514,13,20,2,0,3,3
400,40.686321,-73.982996,14,6,0,1,3,4
400,40.691353,-73.997775,14,6,0,0,3,4
410,40.734429,-73.992227,12,21,2,1,3,4
410,40.763052,-73.973414,12,21,0,0,3,4
420,40.774193,-73.98124099999998,14,9,2,1,3,4
420,40.766094,-73.955383,14,9,2,0,3,4
430,40.718158,-73.99081599999998,12,1,0,1,3,4
430,40.699391,-73.937477,12,1,0,0,3,4
440,40.726542,-73.995748,12,14,0,1,3,4
440,40.731184,-73.98881199999998,12,14,0,0,3,4
450,40.725076,-73.99213899999998,13,23,0,1,3,4
450,40.799089,-73.96236,13,23,0,0,3,4
460,40.752658,-73.970038,11,13,0,1,3,4
460,40.754687,-73.964298,11,13,0,0,3,4
470,40.757371,-73.98999,14,20,0,1,3,4
470,40.759095,-73.966952,14,20,2,0,3,4
480,40.738111,-73.977598,12,18,0,1,3,4
480,40.766331,-73.95698,12,18,2,0,3,4
490,40.743833,-73.99944999999998,14,12,2,1,3,4
490,40.722898,-73.982758,14,12,0,0,3,4
500,40.79172,-73.964898,12,19,0,1,3,4
500,40.793342,-73.97066499999998,12,19,2,0,4,4
510,40.734446,-74.00238,14,21,2,1,4,4
510,40.807487,-73.95463599999998,14,21,0,0,4,4
520,40.722559,-73.99799,13,13,0,1,4,4
520,40.743858,-73.97739099999998,13,14,0,0,4,4
530,40.795788,-73.97288399999998,14,10,2,1,4,4
530,40.781149,-73.949386,14,10,0,0,4,4
540,40.750295,-73.991934,14,10,0,1,4,4
540,40.762544,-73.983485,14,10,0,0,4,4
550,40.73255,-73.98543999999998,13,0,0,1,4,4
550,40.732269,-74.005094,13,0,0,0,4,4
560,40.771611,-73.958929,14,19,0,1,4,4
560,40.776932,-73.959759,14,19,0,0,4,4
570,40.708245,-74.00372299999998,12,23,0,1,4,4
570,40.693883,-73.968946,12,23,0,0,4,5
580,40.75269,-73.985963,14,10,0,1,4,5
580,40.714297,-74.000207,14,10,0,0,4,5
590,40.737596,-74.00825299999998,14,15,0,1,4,5
590,40.720267,-73.999605,14,16,0,0,4,5
600,40.769662,-73.982338,11,17,0,1,4,5
600,40.764405,-73.973285,11,17,0,0,4,5
610,40.727767,-73.982276,14,14,0,1,4,5
610,40.739526,-73.995209,14,14,0,0,4,5
620,40.732533,-73.98481599999998,14,14,0,1,4,5
620,40.766147,-73.963054,14,14,0,0,4,5
630,40.750415,-73.99468,14,15,0,1,4,5
630,40.763557,-73.98129799999998,14,15,0,0,4,5
640,40.738988,-73.987224,14,20,2,1,5,5
640,40.740632,-74.004365,14,20,0,0,5,5
650,40.752774,-73.985876,13,19,0,1,5,5
650,40.772618,-73.983306,13,19,0,0,5,5
660,40.736963,-73.988563,14,11,0,1,5,5
660,40.744793,-73.986044,14,11,0,0,5,5
670,40.793943,-73.974343,12,20,0,1,5,5
670,40.730167,-73.980807,12,20,0,0,5,5
680,40.741401,-73.992518,11,22,2,1,5,5
680,40.735615,-73.99243699999998,11,22,0,0,5,5
690,40.72205,-74.006431,14,9,0,1,5,5
690,40.72205,-74.006431,14,9,0,0,5,5
700,40.728249,-74.00227499999998,11,6,0,1,5,5
700,40.760054,-73.983765,11,6,0,0,5,5
710,40.758166,-73.98948199999998,14,0,0,1,5,5
710,40.823285,-73.94307399999998,14,0,0,0,5,5
720,40.807832,-73.964184,14,19,2,1,5,5
720,40.757956,-73.965912,14,19,0,0,5,5
730,40.737593,-73.989089,11,7,0,1,5,5
730,40.733955,-73.97882199999998,11,7,2,0,5,5
740,40.764479,-73.98831099999998,14,9,0,1,5,5
740,40.753357,-73.996244,14,9,2,0,5,5
750,40.755063,-73.97699,11,22,0,1,5,5
750,40.770479,-73.98765299999998,11,22,0,0,5,6
760,40.745002,-73.97872499999998,14,15,0,1,5,6
760,40.756687,-73.97239999999998,14,15,0,0,5,6
770,40.694178,-73.992462,12,18,2,1,5,6
770,40.674776,-73.9995,12,18,2,0,6,6
780,40.774311,-73.873046,11,17,0,1,6,6
780,40.754499,-73.992587,11,18,0,0,6,6
790,40.782002,-73.981598,14,11,0,1,6,6
790,40.7806,-73.978468,14,11,4,0,6,6
800,40.781034,-73.97661999999998,14,0,0,1,6,6
800,40.777456,-73.986277,14,0,0,0,6,6
810,40.763256,-73.9782,14,8,0,1,6,6
810,40.763256,-73.9782,14,8,0,0,6,6
820,40.719737,-73.987249,13,0,0,1,6,6
820,40.723628,-74.01099999999998,13,0,2,0,6,6
830,40.759296,-73.987412,14,8,0,1,6,6
830,40.758564,-74.000348,14,8,2,0,6,6
840,40.734997,-73.991318,14,12,0,1,6,6
840,40.719571,-74.001731,14,12,0,0,6,6
850,40.77614,-73.982235,14,11,0,1,6,6
850,40.764222,-73.982499,14,11,0,0,6,6
860,40.780096,-73.97692999999998,12,6,2,1,6,6
860,40.74133,-73.987785,12,6,0,0,6,7
870,40.759875,-73.99174399999998,14,9,0,1,6,7
870,40.745924,-73.986923,14,10,0,0,6,7
880,40.772963,-73.981992,14,14,0,1,6,7
880,40.742139,-73.981471,14,14,0,0,6,7
890,40.740563,-74.001875,13,19,2,1,6,7
890,40.743908,-73.98529499999998,13,19,2,0,6,7
900,40.767609,-73.959254,11,7,2,1,6,7
900,40.753445,-73.969509,11,7,0,0,6,7
910,40.758787,-73.985382,18,22,1,1,7,7
910,40.705235,-74.007405,18,22,3,0,7,7
920,40.739602,-73.991247,18,22,3,1,7,7
920,40.71833,-74.01051699999998,18,22,3,0,7,7
930,40.733697,-73.98939199999998,18,22,3,1,7,7
930,40.762602,-73.984595,18,22,3,0,7,7
940,40.761978,-73.97427299999998,18,22,3,1,7,7
940,40.758,-73.970937,18,22,3,0,7,7
950,40.773675,-73.87077499999998,18,22,1,1,7,7
950,40.794357,-73.972165,18,22,3,0,7,7
960,40.812233,-73.949572,18,22,3,1,7,7
960,40.8284,-73.93780499999998,18,22,1,0,7,7
970,40.76206,-73.98080799999998,18,22,3,1,7,7
970,40.76787,-73.95814799999998,18,22,3,0,7,7
980,40.762383,-73.967938,18,22,3,1,7,7
980,40.641143,-73.96449699999998,18,22,1,0,7,7
990,40.731413,-73.988523,18,21,3,1,7,7
990,40.749078,-73.991917,18,21,1,0,7,7
1000,40.75575,-73.982827,18,21,3,1,7,7
1000,40.769928,-73.954632,18,21,3,0,7,7
1010,40.742242,-74.00452,18,21,1,1,7,7
1010,40.657787,-73.97416699999998,18,22,3,0,7,7
1020,40.788665,-73.97427999999998,18,22,1,1,7,8
1020,40.82389,-73.94457,18,22,3,0,7,8
1030,40.76647,-73.959818,18,20,1,1,7,8
1030,40.686287,-73.994037,18,20,3,0,7,8
1040,40.731445,-74.008092,18,21,1,1,7,8
1040,40.738633,-74.00112699999998,18,21,3,0,8,8
1050,40.7318,-73.98535699999998,18,21,3,1,8,8
1050,40.720785,-73.99373699999998,18,21,3,0,8,8
1060,40.773432,-73.985392,18,22,1,1,8,8
1060,40.764007,-73.96891999999998,18,22,3,0,8,8
1070,40.7362,-73.98670699999998,18,22,1,1,8,8
1070,40.78364,-73.983103,18,22,3,0,8,8
1080,40.772808,-73.955432,18,22,1,1,8,8
1080,40.758703,-73.9657,18,22,3,0,8,8
1090,40.727492,-74.00148799999998,14,14,3,1,8,8
1090,40.783205,-73.959198,14,14,1,0,8,8
1100,40.743585,-73.983365,18,22,1,1,8,8
1100,40.725715,-73.84967,18,22,3,0,8,8
1110,40.719977,-73.986537,18,21,3,1,8,8
1110,40.740163,-74.003262,18,21,1,0,8,8
1120,40.745763,-74.005635,18,21,3,1,8,8
1120,40.77023,-73.98776499999998,18,21,3,0,8,8
1130,40.806257,-73.96520499999998,18,21,1,1,8,8
1130,40.7814,-73.95772499999998,18,21,3,0,8,8
1140,40.751147,-73.99310699999998,18,22,3,1,8,8
1140,40.777463,-73.94957999999998,18,22,1,0,8,8
1150,40.728272,-73.99091699999998,18,22,3,1,8,8
1150,40.734148,-74.007188,18,22,1,0,8,8
1160,40.730823,-73.996218,18,22,1,1,8,8
1160,40.78597,-73.979608,18,22,1,0,8,8
1170,40.694238,-73.992427,18,22,3,1,8,8
1170,40.756167,-73.91357999999998,18,22,3,0,8,8
1180,40.75813,-73.98156799999998,18,22,3,1,9,8
1180,40.823078,-73.94912499999998,18,22,3,0,9,8
1190,40.703718,-74.011818,18,22,3,1,9,8
1190,40.710987,-74.011285,18,22,3,0,9,8
1200,40.751967,-73.99333,18,21,3,1,9,8
1200,40.771267,-73.96002799999998,18,21,1,0,9,8
1210,40.717388,-74.01437799999998,18,22,1,1,9,8
1210,40.725273,-73.98334,18,22,1,0,9,8
1220,40.754152,-73.972575,18,21,3,1,9,9
1220,40.76115,-73.96772199999998,18,21,3,0,9,9
1230,40.77252,-73.983192,18,22,3,1,9,9
1230,40.776818,-73.96157499999998,18,22,3,0,9,9
1240,40.760123,-73.975882,19,11,3,1,9,9
1240,40.751365,-73.990195,19,12,3,0,9,9
1250,40.740743,-73.985798,19,11,3,1,9,9
1250,40.754802,-73.98422499999998,19,12,1,0,9,9
1260,40.681898,-73.979842,19,10,1,1,9,9
1260,40.697848,-73.97477499999998,19,10,3,0,9,9
1270,40.772128,-73.952465,19,10,3,1,9,9
1270,40.780893,-73.946278,19,10,1,0,9,9
1280,40.714473,-74.014807,18,22,3,1,9,9
1280,40.750307,-73.99481799999998,18,22,3,0,9,9
1290,40.72824,-74.00221,19,10,1,1,9,9
1290,40.739722,-73.983303,19,10,3,0,9,9
1300,40.72978,-73.996808,19,10,3,1,9,9
1300,40.74912,-73.98210299999998,19,10,3,0,9,9
1310,40.736337,-73.994335,19,10,3,1,9,9
1310,40.736978,-73.984407,19,10,3,0,10,9
1320,40.756238,-73.990492,19,10,3,1,10,9
1320,40.750678,-73.979972,19,11,3,0,10,9
1330,40.731973,-73.98807499999998,18,19,3,1,10,9
1330,40.769873,-73.96037,18,19,1,0,10,9
1340,40.750408,-74.002207,18,21,3,1,10,9
1340,40.754608,-73.999212,18,21,1,0,10,9
1350,40.738815,-73.995802,19,11,3,1,10,9
1350,40.761555,-73.979172,19,11,1,0,10,9
1360,40.782953,-73.97851199999998,19,11,3,1,10,9
1360,40.79334,-73.97092999999998,19,11,3,0,10,10
1370,40.773682,-73.87092,19,10,3,1,10,10
1370,40.71047,-73.948593,19,11,3,0,10,10
1380,40.759087,-73.970263,18,20,3,1,10,10
1380,40.764048,-73.91065999999998,18,21,3,0,10,10
1390,40.776688,-73.9598,19,11,3,1,10,10
1390,40.76499,-73.95535499999998,19,11,3,0,10,10
1400,40.769827,-73.951662,19,11,3,1,10,10
1400,40.773335,-73.96285799999998,19,11,3,0,10,10
1410,40.756822,-73.97698699999998,18,19,1,1,10,10
1410,40.734787,-73.98089299999998,18,19,3,0,10,10
1420,40.761362,-73.97052499999998,18,19,3,1,10,10
1420,40.789455,-73.96997299999998,18,19,1,0,10,10
1430,40.668178,-73.98975799999998,19,10,3,1,10,10
1430,40.668187,-73.990103,19,11,1,0,10,10
1440,40.738345,-73.977573,19,2,3,1,10,10
1440,40.75263,-73.967358,19,2,3,0,10,10
1450,40.762092,-73.96593199999998,18,19,3,1,11,10
1450,40.756435,-73.99056,18,19,1,0,11,10
1460,40.729342,-74.00369,19,2,3,1,11,10
1460,40.737585,-73.996572,19,2,3,0,11,10
1470,40.705015,-74.01742199999998,18,19,1,1,11,10
1470,40.749487,-73.99236,18,19,3,0,11,10
1480,40.73928,-74.00644699999998,19,2,1,1,11,10
1480,40.742882,-73.992745,19,2,3,0,11,10
1490,40.816852,-73.95758999999998,19,2,3,1,11,10
1490,40.753848,-73.97414,19,2,3,0,11,10
1500,40.744583,-73.975992,19,10,1,1,11,10
1500,40.709188,-74.01053299999998,19,11,3,0,11,10
1510,40.801007,-73.959497,19,2,3,1,11,10
1510,40.800218,-73.91388499999998,19,2,3,0,11,10
1520,40.751132,-73.98066699999998,19,10,3,1,11,10
1520,40.748155,-73.985405,19,10,3,0,11,10
1530,40.775123,-73.95926799999998,19,10,3,1,11,10
1530,40.780338,-73.975513,19,11,3,0,11,10
1540,40.750818,-74.00566499999998,19,10,3,1,11,10
1540,40.74825,-73.988927,19,10,3,0,11,10
1550,40.748255,-73.97709,19,10,1,1,11,10
1550,40.781108,-73.972502,19,10,3,0,11,10
1560,40.755095,-73.971002,19,10,3,1,11,11
1560,40.752112,-73.98027299999998,19,10,3,0,11,11
1570,40.801457,-73.96812699999998,13,4,3,1,11,11
1570,40.799053,-73.963113,13,4,3,0,11,11
1580,40.710408,-74.009338,19,10,3,1,11,11
1580,40.757607,-73.989845,19,10,1,0,12,11
1590,40.738937,-73.98934699999998,18,21,1,1,12,11
1590,40.751865,-73.977677,18,21,1,0,12,11
1600,40.747565,-73.99242499999998,13,20,3,1,12,11
1600,40.824398,-73.87631,13,20,3,0,12,11
1610,40.745945,-73.97880999999998,11,20,3,1,12,11
1610,40.762098,-73.982782,11,20,1,0,12,11
1620,40.730013,-73.989535,13,3,3,1,12,11
1620,40.805325,-73.951722,13,4,3,0,12,11
1630,40.733627,-74.006313,19,1,1,1,12,11
1630,40.73479,-73.999335,19,1,3,0,12,11
1640,40.740407,-74.00613,14,20,1,1,12,11
1640,40.69155,-73.9958,14,20,1,0,12,11
1650,40.762842,-73.996902,19,10,3,1,12,11
1650,40.748448,-73.99401299999998,19,10,3,0,12,11
1660,40.765667,-73.98419199999998,13,11,1,1,12,11
1660,40.756297,-73.988872,13,11,1,0,12,11
1670,40.761103,-73.981047,13,7,3,1,12,11
1670,40.759593,-73.991155,13,7,3,0,12,11
1680,40.798757,-73.94180299999998,13,8,3,1,12,11
1680,40.79613,-73.935632,13,8,1,0,12,11
1690,40.77431,-73.951245,19,10,3,1,12,11
1690,40.808247,-73.95035199999998,19,10,3,0,12,11
1700,40.720032,-74.00884499999998,12,12,3,1,12,11
1700,40.704733,-74.016728,12,12,1,0,12,11
1710,40.761108,-73.990988,18,22,3,1,12,11
1710,40.805428,-73.961993,18,22,1,0,12,11
1720,40.756718,-73.966942,13,14,3,1,13,11
1720,40.731618,-74.004728,13,14,1,0,13,12
1730,40.793815,-73.967247,8,8,1,1,13,12
1730,40.777373,-73.980777,8,8,3,0,13,12
1740,40.804352,-73.96664199999998,18,23,3,1,13,12
1740,40.766057,-73.981948,18,23,3,0,13,12
1750,40.740883,-74.007597,18,23,3,1,13,12
1750,40.753582,-73.98495,18,23,1,0,13,12
1760,40.760438,-73.96956199999998,19,15,3,1,13,12
1760,40.750175,-73.988535,19,15,1,0,13,12
1770,40.760263,-73.975938,19,15,3,1,13,12
1770,40.75102,-73.978488,19,15,3,0,13,12
1780,40.753322,-73.97636699999998,18,23,3,1,13,12
1780,40.76679,-73.98210299999998,18,23,1,0,13,12
1790,40.742343,-74.004243,18,23,1,1,13,12
1790,40.676568,-73.980402,18,23,3,0,13,12
1800,40.765755,-73.954763,19,15,1,1,13,12
1800,40.793715,-73.971912,19,15,3,0,13,12
1810,40.724445,-73.992383,18,23,3,1,13,12
1810,40.75417,-73.966835,18,23,1,0,13,12
1820,40.74277,-73.98659,18,23,1,1,13,12
1820,40.763457,-73.98332999999998,18,23,3,0,13,12
1830,40.842015,-73.939352,19,15,3,1,13,12
1830,40.831248,-73.949385,19,15,3,0,13,12
1840,40.809263,-73.95926699999998,18,23,3,1,13,12
1840,40.755928,-73.96890999999998,18,23,1,0,13,12
1850,40.778683,-73.954158,19,15,3,1,13,12
1850,40.778737,-73.945042,19,15,3,0,14,12
1860,40.72687,-73.994003,18,23,3,1,14,12
1860,40.739065,-73.987528,18,23,3,0,14,12
1870,40.758327,-73.985257,19,15,3,1,14,12
1870,40.764357,-73.97592799999998,19,15,1,0,14,12
1880,40.763848,-73.971282,19,15,3,1,14,12
1880,40.759645,-73.98545699999998,19,15,3,0,14,12
1890,40.76261,-73.979618,18,23,3,1,14,12
1890,40.767458,-73.984413,18,23,3,0,14,12
1900,40.764613,-73.96625799999998,19,15,1,1,14,12
1900,40.754118,-73.980402,19,15,3,0,14,12
1910,40.730968,-74.001525,19,15,3,1,14,12
1910,40.744198,-73.995795,19,15,1,0,14,12
1920,40.78373,-73.94758199999998,19,2,3,1,14,12
1920,40.794338,-73.947238,19,2,3,0,14,13
1930,40.75595,-73.964743,19,11,3,1,14,13
1930,40.759063,-73.97325499999998,19,11,3,0,14,13
1940,40.743203,-73.973878,19,2,1,1,14,13
1940,40.711173,-74.016057,19,2,3,0,14,13
1950,40.763235,-73.961663,19,11,1,1,14,13
1950,40.762233,-73.959192,19,11,3,0,14,13
1960,40.750312,-73.991127,19,2,3,1,14,13
1960,40.72951,-74.00190999999998,19,2,1,0,14,13
1970,40.747398,-73.985507,18,19,1,1,14,13
1970,40.77807,-73.910183,18,20,3,0,14,13
1980,40.760677,-73.981072,18,19,1,1,14,13
1980,40.731102,-73.99375999999998,18,19,3,0,14,13
1990,40.728513,-73.981795,19,2,3,1,15,13
1990,40.717243,-74.001642,19,2,3,0,15,13
2000,40.782373,-73.97144,19,18,3,1,15,13
2000,40.783237,-73.955025,19,19,3,0,15,13
2010,40.713948,-73.95169199999998,19,2,3,1,15,13
2010,40.707258,-73.953897,19,2,1,0,15,13
2020,40.721282,-73.987612,19,2,3,1,15,13
2020,40.714553,-73.951713,19,2,3,0,15,13
2030,40.71381,-73.998405,19,10,3,1,15,13
2030,40.716775,-74.00815,19,11,3,0,15,13
2040,40.723663,-73.996528,19,10,3,1,15,13
2040,40.738057,-74.000562,19,11,1,0,15,13
2050,40.762112,-73.973758,19,10,3,1,15,13
2050,40.758703,-73.971197,19,10,3,0,15,13
2060,40.72046,-74.00112,19,2,3,1,15,14
2060,40.765355,-73.92584999999998,19,2,1,0,15,14
2070,40.723148,-73.98576699999998,19,11,1,1,15,14
2070,40.708212,-74.014123,19,11,3,0,15,14
2080,40.78298,-73.957307,19,11,3,1,15,14
2080,40.762237,-73.970427,19,11,3,0,15,14
2090,40.759272,-73.99216699999998,19,2,1,1,15,14
2090,40.73612,-74.00515699999998,19,2,3,0,15,14
2100,40.75783,-73.97660299999998,19,11,3,1,15,14
